patent_id,sketch_id,status,micro,short,iso,n_edges,med_edge,n_prim,mean_conf,low_conf,budget_n,prim_src
EP2664947B1,F0014,quality_gate_stage2,0.4516765285996055,0.8284023668639053,0.0021208907741251328,509,11.071067811865476,,,,,diagnostic
EP2693964B1,F0002,quality_gate_stage2,0.3684210526315789,0.8059496567505721,0.3875453446191052,2262,7.242640687119285,,,,,diagnostic
EP2623349B1,F0001,quality_gate_stage2,0.3553441522104085,0.7887520984890879,0.28428193744699953,3610,7.242640687119285,,,,,diagnostic
EP2734860B1,F0001,ok,0.3300970873786408,0.470873786407767,0.00021081035500463782,212,20.692388155425114,244,0.8045101361371396,0.24056603773584906,,canonical
EP2734148B1,F0001,quality_gate_stage3,0.04794007490636704,0.4149812734082397,0.0003676567136742036,1350,19.31370849898476,1477,0.8057179400082332,0.06592592592592593,4263.0,canonical
EP2795159B1,F0005,ok,0.23673469387755103,0.2510204081632653,0.00038522736789213633,501,73.29898987322332,548,0.6940825835276375,0.3872255489021956,,canonical
EP2793370B1,F0001,quality_gate_stage2,0.6552598225602028,0.7490494296577946,0.0008093234056328909,870,2.0,,,,,diagnostic
EP2832512B1,F0001,quality_gate_stage3,0.16932907348242812,0.6837060702875399,0.0011072834645669291,319,9.82842712474619,381,0.8350710667598948,0.14733542319749215,1557.0,canonical
EP2861732B1,F0012,quality_gate_stage3,0.1517412935323383,0.6697761194029851,0.02859607504852275,1644,9.65685424949238,1847,0.9158519273106241,0.03223844282238443,6854.0,canonical
EP2976579B1,F0003,quality_gate_stage3,0.32247557003257327,0.43973941368078173,9.20030913038678e-06,1297,21.242640687119287,1490,0.7774747585443729,0.2644564379336931,4579.0,canonical
EP2881873B1,F0001,quality_gate_stage2,0.0657439446366782,0.7131487889273357,0.296479221054117,3151,10.071067811865476,,,,,diagnostic
EP3016904B1,F0002,quality_gate_stage3,0.09736842105263158,0.5078947368421053,0.06673254281949934,772,14.485281374238571,966,0.8760490626986606,0.050518134715025906,6479.0,canonical
EP3011884B1,F0001,quality_gate_stage3,0.21891891891891893,0.581081081081081,0.004436940474320716,1568,11.65685424949238,2036,0.8526755469374034,0.1211734693877551,15755.0,canonical
EP3029408B1,F0002,ok,0.4,0.41818181818181815,0.00043725404459991256,113,29.36396103067893,124,0.7438059769265039,0.3274336283185841,,canonical
EP3025084B1,F0001,quality_gate_stage3,0.17114914425427874,0.7603911980440098,0.23703556526922312,1307,8.82842712474619,1880,0.9136873932159548,0.011476664116296864,19285.0,canonical
