run,patent_id,sketch_id,status,stage2_chamfer_p95,stage2_chamfer_sym,stage2_f1_at_2px,stage2_precision_at_2px,stage2_recall_at_2px,stage3_chamfer_p95,stage3_chamfer_sym,stage3_f1_at_2px,stage3_precision_at_2px,stage3_recall_at_2px
canonical,EP2793370B1,F0001,quality_gate_stage2,0.0,0.0010608123729880599,0.9998470994770803,1.0,0.9996942457041521,,,,,
cohort,EP2793370B1,F0001,quality_gate_stage2,0.0,0.0010608123729880599,0.9998470994770803,1.0,0.9996942457041521,1.0,0.18843680663341886,0.9986354110500759,0.9999649908976334,0.9973093621965389
canonical,EP2795159B1,F0005,ok,0.0,0.008988276015514022,0.9998094464834592,1.0,0.999618965574368,1.0,0.1118568456979221,0.9997680121959304,1.0,0.9995361320035784
cohort,EP2795159B1,F0005,ok,0.0,0.008988276015514022,0.9998094464834592,1.0,0.999618965574368,1.0,0.1118568456979221,0.9997680121959304,1.0,0.9995361320035784
canonical,EP2832512B1,F0001,quality_gate_stage3,0.0,0.0019257153049400315,0.9998778597265937,1.0,0.9997557492860364,1.0,0.07789442312975647,0.9993511217972955,0.9999618196743219,0.9987411693972644
cohort,EP2832512B1,F0001,quality_gate_stage3,0.0,0.0019257153049400315,0.9998778597265937,1.0,0.9997557492860364,1.0,0.07789442312975647,0.9993511217972955,0.9999618196743219,0.9987411693972644
canonical,EP2861732B1,F0012,quality_gate_stage3,0.0,0.03968424309528058,0.9927467261807081,1.0,0.9855979146301727,1.0,0.33584353091220465,0.9881606693750762,0.9998339540289869,0.9767568154664928
cohort,EP2861732B1,F0012,quality_gate_stage3,0.0,0.03968424309528058,0.9927467261807081,1.0,0.9855979146301727,1.0,0.33584353091220465,0.9881606693750762,0.9998339540289869,0.9767568154664928
canonical,EP2881873B1,F0001,quality_gate_stage2,0.0,0.08306817825203199,0.9814455484122345,1.0,0.9635670894985693,,,,,
cohort,EP2881873B1,F0001,quality_gate_stage2,0.0,0.08306817825203199,0.9814455484122345,1.0,0.9635670894985693,2.0,0.5128690723841797,0.9576209008549189,1.0,0.9186877419552277
canonical,EP2976579B1,F0003,quality_gate_stage3,0.0,0.00014570119444831317,0.9999972088635329,1.0,0.9999944177426467,1.0,0.09391007709279532,0.9997234741466896,0.9999885677702579,0.9994585210367368
cohort,EP2976579B1,F0003,quality_gate_stage3,0.0,0.00014570119444831317,0.9999972088635329,1.0,0.9999944177426467,1.0,0.09391007709279532,0.9997234741466896,0.9999885677702579,0.9994585210367368
canonical,EP3011884B1,F0001,quality_gate_stage3,0.0,0.0018888064482863048,0.9997872663728916,1.0,0.9995746232377248,1.4142135623730951,0.3738253029238344,0.9748324983551039,0.999907405692698,0.9509844433641225
cohort,EP3011884B1,F0001,quality_gate_stage3,0.0,0.0018888064482863048,0.9997872663728916,1.0,0.9995746232377248,1.4142135623730951,0.3738253029238344,0.9748324983551039,0.999907405692698,0.9509844433641225
canonical,EP3016904B1,F0002,quality_gate_stage3,0.0,0.03909926273778116,0.9881313828319073,1.0,0.9765411893071467,1.4142135623730951,0.3926111157210963,0.9807810326902541,0.9996955595181142,0.9625689519306541
cohort,EP3016904B1,F0002,quality_gate_stage3,0.0,0.03909926273778116,0.9881313828319073,1.0,0.9765411893071467,1.4142135623730951,0.3926111157210963,0.9807810326902541,0.9996955595181142,0.9625689519306541
canonical,EP3025084B1,F0001,quality_gate_stage3,0.0,0.05713626129515756,0.9867953683450061,1.0,0.9739349165164689,2.0,0.4789611800267508,0.9625938748882747,1.0,0.9278852819426013
cohort,EP3025084B1,F0001,quality_gate_stage3,0.0,0.05713626129515756,0.9867953683450061,1.0,0.9739349165164689,2.0,0.4789611800267508,0.9625938748882747,1.0,0.9278852819426013
canonical,EP3029408B1,F0002,ok,0.0,0.010242436543575543,0.9998776059728285,1.0,0.9997552419025862,1.0,0.18040177472645666,0.9992646236065493,0.9999170606286805,0.9986130374479889
cohort,EP3029408B1,F0002,ok,0.0,0.010242436543575543,0.9998776059728285,1.0,0.9997552419025862,1.0,0.18040177472645666,0.9992646236065493,0.9999170606286805,0.9986130374479889
canonical,EP3033586B1,F0002,quality_gate_stage3,0.0,0.0,1.0,1.0,1.0,1.0,0.1538092184126555,0.9994797993103809,0.9999545867393279,0.9990054625341408
cohort,EP3033586B1,F0002,quality_gate_stage3,0.0,0.0,1.0,1.0,1.0,1.0,0.1538092184126555,0.9994797993103809,0.9999545867393279,0.9990054625341408
canonical,EP3046835B1,F0001,quality_gate_stage3,0.0,0.006591037897964839,0.99943429314929,1.0,0.9988692259851869,1.0,0.4154202607883989,0.9944677264563592,0.9996175176898069,0.9893707242607565
cohort,EP3046835B1,F0001,quality_gate_stage3,0.0,0.006591037897964839,0.99943429314929,1.0,0.9988692259851869,1.0,0.4154202607883989,0.9944677264563592,0.9996175176898069,0.9893707242607565
canonical,EP3049766B1,F0001,quality_gate_stage3,0.0,0.050203271775807586,0.987485485743775,1.0,0.9752803261977574,2.0,0.4397650773860063,0.9632947647154189,1.0,0.9291886757483088
cohort,EP3049766B1,F0001,quality_gate_stage3,0.0,0.050203271775807586,0.987485485743775,1.0,0.9752803261977574,2.0,0.4397650773860063,0.9632947647154189,1.0,0.9291886757483088
canonical,EP3064097B1,F0001,ok,0.0,8.802031087623169e-05,0.99996063457072,1.0,0.999921272240592,1.0,0.15118046991027517,0.999507032769096,0.9999197753710389,0.9990946307668084
cohort,EP3064097B1,F0001,ok,0.0,8.802031087623169e-05,0.99996063457072,1.0,0.999921272240592,1.0,0.15118046991027517,0.999507032769096,0.9999197753710389,0.9990946307668084
canonical,EP3078734B1,F0001,quality_gate_stage3,0.0,0.0019806422673189,0.9999516043168949,1.0,0.9999032133178475,2.23606797749979,0.38994512327413694,0.9421239867986757,0.99995011390658,0.8906202950918398
cohort,EP3078734B1,F0001,quality_gate_stage3,0.0,0.0019806422673189,0.9999516043168949,1.0,0.9999032133178475,2.23606797749979,0.38994512327413694,0.9421239867986757,0.99995011390658,0.8906202950918398
canonical,EP3082005B1,F0001,quality_gate_stage3,0.0,0.04655773438805001,0.9996851715814882,1.0,0.9993705413344524,1.0,0.21973314834148913,0.9992125570896111,1.0,0.998426353336131
cohort,EP3082005B1,F0001,quality_gate_stage3,0.0,0.04655773438805001,0.9996851715814882,1.0,0.9993705413344524,1.0,0.21973314834148913,0.9992125570896111,1.0,0.998426353336131
canonical,EP3082506B1,F0001,ok,0.0,0.00017395569646403228,0.9999814869668247,1.0,0.9999629746191014,1.0,0.07184885742078767,0.9998889115180242,1.0,0.9997778477146083
cohort,EP3082506B1,F0001,ok,0.0,0.00017395569646403228,0.9999814869668247,1.0,0.9999629746191014,1.0,0.07184885742078767,0.9998889115180242,1.0,0.9997778477146083
canonical,EP3088045B1,F0007,quality_gate_stage2,0.0,0.00016635375451988507,0.999953859641028,1.0,0.999907723539725,,,,,
cohort,EP3088045B1,F0007,quality_gate_stage2,0.0,0.00016635375451988507,0.999953859641028,1.0,0.999907723539725,1.4142135623730951,0.41800792283015353,0.9953182218513883,1.0,0.9906800775122266
canonical,EP3088963B1,F0001,quality_gate_stage3,0.0,0.014046194297372269,0.9996567519263319,1.0,0.9993137394102892,1.0,0.19661364584249397,0.999289084703059,0.9998803970816887,0.998698471295376
cohort,EP3088963B1,F0001,quality_gate_stage3,0.0,0.014046194297372269,0.9996567519263319,1.0,0.9993137394102892,1.0,0.19661364584249397,0.999289084703059,0.9998803970816887,0.998698471295376
canonical,EP3091721B1,F0001,ok,0.0,0.00028010371758734683,0.9999060415296439,1.0,0.9998121007140173,1.0,0.17152183436685656,0.9988024606226565,0.9995476575121163,0.9980583740448453
cohort,EP3091721B1,F0001,ok,0.0,0.00028010371758734683,0.9999060415296439,1.0,0.9998121007140173,1.0,0.17152183436685656,0.9988024606226565,0.9995476575121163,0.9980583740448453
canonical,EP3101366B1,F0001,quality_gate_stage3,0.0,0.0757121829812758,0.9900289328327874,1.0,0.9802547469103651,1.4142135623730951,0.33184459212752776,0.982136736313105,0.9998847262247839,0.9650078128699275
cohort,EP3101366B1,F0001,quality_gate_stage3,0.0,0.0757121829812758,0.9900289328327874,1.0,0.9802547469103651,1.4142135623730951,0.33184459212752776,0.982136736313105,0.9998847262247839,0.9650078128699275
canonical,EP3104691B1,F0003,quality_gate_stage2,0.0,4.3291008882902954e-05,0.9999946303823706,1.0,0.9999892608224062,,,,,
cohort,EP3104691B1,F0003,quality_gate_stage2,0.0,4.3291008882902954e-05,0.9999946303823706,1.0,0.9999892608224062,2.0,0.4205314970965642,0.9797512705122207,0.9999166406168595,0.960383173856546
canonical,EP3117602B1,F0008,quality_gate_stage2,0.0,0.003064604151504658,0.9995440369147713,1.0,0.9990884894447077,,,,,
cohort,EP3117602B1,F0008,quality_gate_stage2,0.0,0.003064604151504658,0.9995440369147713,1.0,0.9990884894447077,1.0,0.37340691061312176,0.9979862047565853,0.9998808412606994,0.9960987348233492
canonical,EP3119165B1,F0001,quality_gate_stage2,0.0,0.00020970222284356213,0.9999440762799542,1.0,0.9998881588144835,,,,,
cohort,EP3119165B1,F0001,quality_gate_stage2,0.0,0.00020970222284356213,0.9999440762799542,1.0,0.9998881588144835,1.0,0.34894766637059854,0.9939365334430134,0.9999683253618827,0.9879770725569691
canonical,EP3129274B1,F0001,quality_gate_stage2,0.0,0.005047165369367245,0.9999399518280221,1.0,0.999879910867177,,,,,
cohort,EP3129274B1,F0001,quality_gate_stage2,0.0,0.005047165369367245,0.9999399518280221,1.0,0.999879910867177,2.8284271247461903,0.5049690660075201,0.9355834813623796,0.9998276071877662,0.8790969297211708
canonical,EP3131533B1,F0001,quality_gate_stage1,,,,,,,,,,
cohort,EP3131533B1,F0001,quality_gate_stage1,,,,,,,,,,
canonical,EP3147970B1,F0001,quality_gate_stage3,0.0,0.014117751554426902,0.999738737730004,1.0,0.9994776119402985,1.0,0.20862615179289698,0.9982781904619998,0.9998448650325783,0.9967164179104477
cohort,EP3147970B1,F0001,quality_gate_stage3,0.0,0.014117751554426902,0.999738737730004,1.0,0.9994776119402985,1.0,0.20862615179289698,0.9982781904619998,0.9998448650325783,0.9967164179104477
canonical,EP3173415B1,F0001,ok,0.0,0.015579760607608248,0.9996834441278886,1.0,0.9993670886075949,1.0,0.28029924371225645,0.9982835767991096,0.9993542554565414,0.9972151898734177
cohort,EP3173415B1,F0001,ok,0.0,0.015579760607608248,0.9996834441278886,1.0,0.9993670886075949,1.0,0.28029924371225645,0.9982835767991096,0.9993542554565414,0.9972151898734177
canonical,EP3184100B1,F0004,quality_gate_stage3,0.0,0.002899623636339759,0.9999775648935454,1.0,0.9999551307937362,1.0,0.10999658993348538,0.9994382569702899,0.999953906430053,0.9989231390496702
cohort,EP3184100B1,F0004,quality_gate_stage3,0.0,0.002899623636339759,0.9999775648935454,1.0,0.9999551307937362,1.0,0.10999658993348538,0.9994382569702899,0.999953906430053,0.9989231390496702
canonical,EP3186468B1,F0001,quality_gate_stage3,0.0,0.00015918516581260134,0.9999668544912165,1.0,0.9999337111796096,2.0,0.5334805053953273,0.9908597959974605,0.9998782368698758,0.9820025852639952
